ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity
SMB-DEF-001,Defender,Real-time protection enabled (policy),Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableRealtimeMonitoring,,,,1,0,=,High
SMB-DEF-002,Defender,Cloud-delivered protection at High,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\MpEngine,MpCloudBlockLevel,,,,0,2,=,Medium
SMB-DEF-003,Defender,Automatic sample submission enabled,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Spynet,SubmitSamplesConsent,,,,0,1,=,Low
SMB-DEF-004,Defender,Tamper protection enabled (feature flag),Registry,,HKLM:\SOFTWARE\Microsoft\Windows Defender\Features,TamperProtection,,,,0,5,=,High
SMB-DEF-005,Defender,PUA protection block mode,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender,PUAProtection,,,,0,1,=,Medium
SMB-DEF-006,Defender,Network protection block mode,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\Network Protection,EnableNetworkProtection,,,,0,1,=,High
SMB-DEF-007,Defender,SmartScreen for Edge on block,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Edge,SmartScreenEnabled,,,,0,1,=,Medium
SMB-DEF-008,Defender,SmartScreen for Windows on block,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\System,EnableSmartScreen,,,,0,1,=,Medium
SMB-ASR-001,ASR,Block credential stealing from LSASS,MpPreferenceAsr,9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,,,,,,0,1,=,Critical
SMB-ASR-002,ASR,Block Office apps creating executable content,MpPreferenceAsr,3b576869-a4ec-4529-8536-b80a7769e899,,,,,,0,1,=,High
SMB-ASR-003,ASR,Block Office from injecting into other processes,MpPreferenceAsr,75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84,,,,,,0,1,=,High
SMB-ASR-004,ASR,Block Win32 API calls from Office macros,MpPreferenceAsr,92e97fa1-2edf-4476-bdd6-9dd0b4dddc7b,,,,,,0,1,=,High
SMB-ASR-005,ASR,Block executable content from email client and webmail,MpPreferenceAsr,be9ba2d9-53ea-4cdc-84e5-9b1eeee46550,,,,,,0,1,=,High
SMB-ASR-006,ASR,Block JavaScript/VBScript from launching downloaded executables,MpPreferenceAsr,d3e037e1-3eb8-44c8-a917-57927947596d,,,,,,0,1,=,High
SMB-ASR-007,ASR,Block Adobe Reader from creating child processes,MpPreferenceAsr,7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,,,,,,0,1,=,Medium
SMB-ASR-008,ASR,Block persistence through WMI event subscription,MpPreferenceAsr,e6db77e5-3df2-4cf1-b95a-636979351e5b,,,,,,0,1,=,Medium
SMB-ASR-009,ASR,Advanced ransomware protection,MpPreferenceAsr,c1db55ab-c21a-4637-bb3f-a12568109d35,,,,,,0,1,=,High
SMB-ASR-010,ASR,Block untrusted/unsigned processes from USB,MpPreferenceAsr,b2b3f03d-6a65-4f7b-a9c7-1c7ef74a9ba4,,,,,,0,1,=,Medium
SMB-CRED-001,Credential,LSA protection (RunAsPPL) enabled,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Lsa,RunAsPPL,,,,0,1,=,High
SMB-CRED-002,Credential,WDigest authentication disabled,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest,UseLogonCredential,,,,1,0,=,High
SMB-CRED-003,Credential,LM hash storage disabled,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Lsa,NoLMHash,,,,0,1,=,High
SMB-CRED-004,Credential,NTLMv1 disabled (LmCompatibilityLevel >= 5),Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Lsa,LmCompatibilityLevel,,,,3,5,>=,High
SMB-CRED-005,Credential,Windows LAPS policy: BackupDirectory configured,Registry,,HKLM:\SOFTWARE\Microsoft\Policies\LAPS,BackupDirectory,,,,0,1,>=,High
SMB-BL-001,BitLocker,BitLocker policy: pre-boot authentication required,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\FVE,UseAdvancedStartup,,,,0,1,=,Critical
SMB-BL-002,BitLocker,BitLocker policy: OS drive encryption is XTS-AES 256,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\FVE,EncryptionMethodWithXtsOs,,,,0,7,=,Medium
SMB-NET-001,Network,SMBv1 client driver disabled (mrxsmb10 service Start = 4),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\mrxsmb10,Start,,,,2,4,=,High
SMB-NET-002,Network,SMBv1 server disabled,Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters,SMB1,,,,1,0,=,High
SMB-NET-003,Network,SMB signing required (server),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters,RequireSecuritySignature,,,,0,1,=,High
SMB-NET-004,Network,LLMNR disabled,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\DNSClient,EnableMulticast,,,,1,0,=,Medium
SMB-NET-005,Network,NetBIOS over TCP/IP disabled (NodeType set to P-node),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\NetBT\Parameters,NodeType,,,,1,2,=,Medium
SMB-NET-006,Network,TLS 1.0 client disabled,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\TLS 1.0\Client,Enabled,,,,1,0,=,Medium
SMB-NET-007,Network,TLS 1.1 client disabled,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\TLS 1.1\Client,Enabled,,,,1,0,=,Medium
SMB-OFF-001,Office,Block macros from internet (Word),Registry,,HKLM:\SOFTWARE\Policies\Microsoft\office\16.0\word\security,blockcontentexecutionfrominternet,,,,0,1,=,Critical
SMB-OFF-001a,Office,Block macros from internet (Excel),Registry,,HKLM:\SOFTWARE\Policies\Microsoft\office\16.0\excel\security,blockcontentexecutionfrominternet,,,,0,1,=,Critical
SMB-OFF-001b,Office,Block macros from internet (PowerPoint),Registry,,HKLM:\SOFTWARE\Policies\Microsoft\office\16.0\powerpoint\security,blockcontentexecutionfrominternet,,,,0,1,=,Critical
SMB-OFF-002,Office,Protected view for internet files (Word),Registry,,HKCU:\SOFTWARE\Policies\Microsoft\office\16.0\word\security\protectedview,disableinternetfilesinpv,,,,1,0,=,Medium
SMB-OFF-003,Office,Protected view for attachments (Word),Registry,,HKCU:\SOFTWARE\Policies\Microsoft\office\16.0\word\security\protectedview,disableattachmentsinpv,,,,1,0,=,Medium
SMB-OFF-004,Office,Protected view for unsafe locations (Word),Registry,,HKCU:\SOFTWARE\Policies\Microsoft\office\16.0\word\security\protectedview,disableunsafelocationsinpv,,,,1,0,=,Medium
SMB-OFF-005,Office,DDE disabled in Word,Registry,,HKCU:\SOFTWARE\Microsoft\office\16.0\word\security,allowdde,,,,1,0,=,Medium
SMB-FW-001,Firewall,Firewall on for Domain profile (policy),Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,EnableFirewall,,,,0,1,=,High
SMB-FW-001a,Firewall,Firewall on for Private profile (policy),Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,EnableFirewall,,,,0,1,=,High
SMB-FW-001b,Firewall,Firewall on for Public profile (policy),Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,EnableFirewall,,,,0,1,=,High
SMB-FW-002,Firewall,Inbound blocked by default on Public profile (policy),Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,DefaultInboundAction,,,,0,1,=,High
SMB-UAC-001,UAC,UAC enabled,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,EnableLUA,,,,0,1,=,High
SMB-UAC-002,UAC,Admin approval mode on,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,FilterAdministratorToken,,,,0,1,=,Medium
SMB-UAC-003,UAC,Secure desktop for elevation prompts,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,PromptOnSecureDesktop,,,,0,1,=,Medium
SMB-WU-001,Updates,Automatic updates configured,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU,NoAutoUpdate,,,,0,0,=,High
SMB-LOG-001,Logging,PowerShell script block logging enabled,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging,EnableScriptBlockLogging,,,,0,1,=,Medium
SMB-LOG-002,Logging,PowerShell module logging enabled,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\PowerShell\ModuleLogging,EnableModuleLogging,,,,0,1,=,Low
SMB-LOG-003,Logging,Command-line process auditing,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit,ProcessCreationIncludeCmdLine_Enabled,,,,0,1,=,Medium
SMB-RM-001,RemovableMedia,AutoRun disabled for all drive types,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer,NoDriveTypeAutoRun,,,,0,255,=,Medium
